District;Full name of candidate;F;H;18-30;31-65;65+;Commune;#votes;Committee 1
Martigny;Marine Addy;1;;1;;;Fully;29;
Martigny;Lisette Batista;1;;1;;;Saxon;24;
Martigny;Léonard Bender;;1;;1;;Fully;87;1
Martigny;Mara Bruchez;1;;1;;;Charrat;50;1
Martigny;Dominique Bugnon;1;;;1;;Riddes;17;
Martigny;Edouard Carron;;1;;1;;Fully;60;1
Martigny;Antoine Conforti;;1;1;;;Martigny;60;1
Martigny;Etienne Coquoz;;1;;1;;Martigny;50;1
Martigny;Pascal Crettenand;;1;;1;;Saxon;22;1
Martigny;Cilette Cretton;1;;;;1;Martigny;72;1
Martigny;Marie-Bertrande Duay;1;;1;;;Martigny;30;
Martigny;Tiago Gomez;;1;1;;;Riddes;35;1
Martigny;Virginie Gosset;1;;;1;;Fully;38;1
Martigny;Michelle Grandjean Böhm;1;;;1;;Saxon;44;1
Martigny;Jennifer Grinzinger;1;;;1;;Martigny;77;1
Martigny;Marion Mabillard;1;;1;;;Saillon;88;1
Martigny;Odile Maury;1;;;1;;Martigny;17;
Martigny;Loise Pignat;1;;1;;;Martigny;60;1
Martigny;Catherine Rebord;1;;;1;;Fully;25;
Martigny;Véronique Rodriguez;1;;1;;;Saxon;42;1
Martigny;Johann Roduit;;1;;1;;Martigny;98;1
Martigny;Laurent Salvisberg;;1;;1;;Fully;33;1
Martigny;Mirca Sigrist;1;;1;;;Fully;60;1
Martigny;Véronique Zumstein;1;;;1;;Martigny;37;
